id,emp1,emp2,type
1,`,`,
2,10 Coders Inc,10 Coders Inc,
3,127 High Street Apartments c/o J&R Associates,127 High Street Apartments c/o J&R Associates,
4,12th & 13th Webster Street LLC,12th & 13th Webster Street LLC,
5,1301 Hearst Avenue LLC,1301 Hearst Avenue LLC,
6,17 Jewels Salon & Spa,17 Jewels Salon & Spa,
7,180 Degrees,180 Degrees,
8,"1910 Fairway, LLC","1910 Fairway, LLC",
9,19th Avenue Storage,19th Avenue Storage,NULL
10,1st Alliance Executive Transport,1st Alliance Executive Transport,
11,1st Century Bank,1st Century Bank,
12,21Tech,21Tech,
13,2228 Union Street Investors LP (Building 3),2228 Union Street Investors LP (Building 3),
14,24 Hour Fitness,24 Hour Fitness,NULL
15,"2500 Embarcadero, LLC","2500 Embarcadero, LLC",
16,2Y Construction Management,2Y Construction Management,
17,2Y Construction Management,2Y Contruction,
18,3 bridge networks,3 bridge networks,
19,"3345-3351 Lakeshore Ave., LLC","3345-3351 Lakeshore Ave., LLC",
20,360i,360i,
21,381 Oakland Ave Apartments LLC,381 Oakland Ave Apartments LLC,
22,"385-389 Palm Avenue, c/o J&R Associates","385-389 Palm Avenue, c/o J&R Associates",
23,3dna Inc,3dna Inc,
24,40th St Apartments LLC,40th St Apartments LLC,NULL
25,40th St Apartments LLC,40th Street Apartment,NULL
26,40th St Apartments LLC,40TH STREET APTS LLC,
27,40th St Apartments LLC,40th Street Apartments LLC,
28,40th St Apartments LLC,40th Street Apartments,
29,40th St Apartments LLC,40TH STREET APARTMENTS LLC,
30,"44 Energy Technologies, Inc.","44 Energy Technologies, Inc.",
31,"44 Energy Technologies, Inc.",44 Energy Technology,NULL
32,5 Stepping Stones,5 Stepping Stones,
33,50+1 Strategies,50+1 Strategies,NULL
34,510 Properties,510 Properties,
35,54 Green Street Realty Corp,54 Green Street Realty Corp,
36,"6 Star Motel, Inc.","6 Star Motel, Inc.",
37,7 Day Tire and Shop,7 Day Tire and Shop,NULL
38,8881 Consulting,8881 Consulting,NULL
39,A & B Construction,A & B Construction,NULL
40,"A & B Vehicle Processing, Inc.","A & B Vehicle Processing, Inc.",NULL
41,"A & B Vehicle Processing, Inc.","A & B Vehicle Processing, INC.",
42,A B & I Foundary,A B & I Foundary,NULL
43,A B & I Foundary,A B & I Foundry,
44,A B & I Foundary,AB & I Foundary,NULL
45,A B & I Foundary,AB&I Foundry,NULL
46,A B & I Foundary,AB & I Foundry,
47,A B & I Foundary,AB&I,
48,A Better Place,A Better Place,NULL
49,"A Squared Ventures, Inc.",A Squared Ventures,
50,"A Squared Ventures, Inc.","A Squared Ventures, Inc.",NULL
51,A Superior Electric,A Superior Electric,NULL
52,A-1 Top Quality Painting,A-1 Top Quality Painting,
53,A&B Die Casting Company,A&B Die Casting Company,
54,A&B Towing,A&B Towing,NULL
55,A+ Smog Test Only,A+ Smog Test Only,NULL
56,A10 Networks,A10 Networks,
57,AAA Insurance,AAA,
58,AAA Insurance,AAA Insurance,NULL
59,AAA Insurance,AAA NCNU,
60,AAFE,AAFE,
61,Aaron Baluyot,Aaron Baluyot,
62,Aaron Cooperband,Aaron Cooperband,
63,Aaron Metals,Aaron Metals,NULL
64,Aaron Metals Company,Aaron Metals Company,
65,AARP,AARP,
66,Abbey Carpet,Abbey Carpet,
67,Abbott,Abbott,NULL
68,Abbott Diabetes Care,Abbott Diabetes Care,NULL
